Pt.	Leit.1	Leit.2	Leit.3	Lat_G	Lat_M	Lat_S	Lon_G	Lon_M	Lon_S	Alti.	Hor.	Min.	P.Atm.
1	2333.45	2333.67	2333.57	-22	44	23.34	-110	44	12.23	2.333	8	10	23.566
2	2550.64	2551.23	2552.01	-22	44	24.23	-110	44	14.45	1.89	9	12	23.677
3	2767.83	2768.79	2770.45	-22	44	25.12	-110	43	16.67	1.447	10	14	23.788
4	2985.02	2986.35	2988.89	-22	44	26.01	-110	43	18.89	1.004	11	16	23.899
5	3202.21	3203.91	3207.33	-22	44	26.9	-110	42	21.11	0.561	12	18	24.01
6	2981.45	2986.35	2991.25	-22	44	26.06	-110	42	19.01	0.987	13	20	23.989
7	2760.69	2768.79	2775.17	-22	44	25.22	-110	42	16.91	1.413	14	22	23.968
8	2539.93	2551.23	2559.09	-22	44	24.38	-110	42	14.81	1.839	15	24	23.947
9	2319.17	2333.67	2343.01	-22	44	23.54	-110	42	12.71	2.265	16	26	23.926
1	2098.41	2116.11	2126.93	-22	44	23.34	-110	44	12.23	2.333	17	28	23.566
