00_Pt	01_LG	02_LC	03_C.HI	04_g.HI	05_C.Mar	06_g.Mar	07_C.Der	08_g.Der	09_g.Obs	10_g.Teo	11_C.FrA	12_A.FrA	13_C.Bg	14_A.Bg
1.0	2381.737	2394.13	0.003	2394.133	-0.009	2394.124	0.0	2394.124	0.0	980873.318	7.715	-980865.604	2.798	-980868.402
2.0	2194.865	2206.216	0.003	2206.219	-0.039	2206.179	0.007	2206.186	-187.937	980805.451	148.126	-980845.263	53.725	-980898.988
3.0	2015.098	2025.46	0.004	2025.464	0.156	2025.62	0.009	2025.629	-368.495	980809.937	385.745	-980792.687	139.908	-980932.595
4.0	1922.317	1932.186	0.003	1932.19	0.159	1932.348	0.009	1932.358	-461.766	980806.103	516.898	-980750.971	187.477	-980938.448
5.0	1761.397	1770.417	0.003	1770.42	0.154	1770.575	0.011	1770.585	-623.539	980805.611	757.603	-980671.547	274.779	-980946.326
6.0	1922.217	1932.086	0.002	1932.088	0.137	1932.226	0.012	1932.238	-461.886	980806.103	516.898	-980751.091	187.477	-980938.568
7.0	2015.217	2025.579	0.003	2025.582	0.117	2025.699	0.013	2025.713	-368.411	980809.937	385.745	-980792.603	139.908	-980932.511
8.0	2194.948	2206.3	0.003	2206.302	0.081	2206.383	0.015	2206.398	-187.726	980821.646	148.126	-980861.245	53.725	-980914.97
1.0	2381.767	2394.16	0.003	2394.163	-0.061	2394.103	0.021	2394.124	0.0	980873.318	7.715	-980865.604	2.798	-980868.402
00_Pt	01_LG	02_LC	03_C.HI	04_g.HI	05_C.Mar	06_g.Mar	07_C.Der	08_g.Der	09_g.Obs	10_g.Teo	11_C.FrA	12_A.FrA	13_C.Bg	14_A.Bg
1.0	2381.737	2394.13	0.003	2394.133	-0.009	2394.124	0.0	2394.124	0.0	980873.318	7.715	-980865.604	2.798	-980868.402
2.0	2194.865	2206.216	0.003	2206.219	-0.039	2206.179	0.007	2206.186	-187.937	980805.451	148.126	-980845.263	53.725	-980898.988
3.0	2015.098	2025.46	0.004	2025.464	0.156	2025.62	0.009	2025.629	-368.495	980809.937	385.745	-980792.687	139.908	-980932.595
4.0	1922.317	1932.186	0.003	1932.19	0.159	1932.348	0.009	1932.358	-461.766	980806.103	516.898	-980750.971	187.477	-980938.448
5.0	1761.397	1770.417	0.003	1770.42	0.154	1770.575	0.011	1770.585	-623.539	980805.611	757.603	-980671.547	274.779	-980946.326
6.0	1922.217	1932.086	0.002	1932.088	0.137	1932.226	0.012	1932.238	-461.886	980806.103	516.898	-980751.091	187.477	-980938.568
7.0	2015.217	2025.579	0.003	2025.582	0.117	2025.699	0.013	2025.713	-368.411	980809.937	385.745	-980792.603	139.908	-980932.511
8.0	2194.948	2206.3	0.003	2206.302	0.081	2206.383	0.015	2206.398	-187.726	980821.646	148.126	-980861.245	53.725	-980914.97
1.0	2381.767	2394.16	0.003	2394.163	-0.061	2394.103	0.021	2394.124	0.0	980873.318	7.715	-980865.604	2.798	-980868.402
00_Pt	01_LG	02_LC	03_C.HI	04_g.HI	05_C.Mar	06_g.Mar	07_C.Der	08_g.Der	09_g.Obs	10_g.Teo	11_C.FrA	12_A.FrA	13_C.Bg	14_A.Bg
1.0	2381.737	2394.13	0.003	2394.133	-0.009	2394.124	0.0	2394.124	0.0	980873.318	7.715	-980865.604	2.798	-980868.402
2.0	2194.865	2206.216	0.003	2206.219	-0.041	2206.177	0.007	2206.184	-187.94	980805.451	148.126	-980845.265	53.725	-980898.99
3.0	2015.098	2025.46	0.004	2025.464	0.156	2025.62	0.009	2025.629	-368.495	980809.937	385.745	-980792.687	139.908	-980932.595
4.0	1922.317	1932.186	0.003	1932.19	0.159	1932.348	0.009	1932.358	-461.766	980806.103	516.898	-980750.971	187.477	-980938.448
5.0	1761.397	1770.417	0.003	1770.42	0.154	1770.575	0.011	1770.585	-623.539	980805.611	757.603	-980671.547	274.779	-980946.326
6.0	1922.217	1932.086	0.002	1932.088	0.137	1932.226	0.012	1932.238	-461.886	980806.103	516.898	-980751.091	187.477	-980938.568
7.0	2015.217	2025.579	0.003	2025.582	0.117	2025.699	0.013	2025.713	-368.411	980809.937	385.745	-980792.603	139.908	-980932.511
8.0	2194.948	2206.3	0.003	2206.302	0.081	2206.383	0.015	2206.398	-187.726	980821.646	148.126	-980861.245	53.725	-980914.97
1.0	2381.767	2394.16	0.003	2394.163	-0.061	2394.103	0.021	2394.124	0.0	980873.318	7.715	-980865.604	2.798	-980868.402
